"","X","date","likeCount","year","popularity","time","word","sentiment"
"401",49194,17,0,2018,"normal",1,"won","positive"
"402",49197,17,0,2018,"normal",1,"attack","negative"
"403",49198,17,0,2018,"normal",1,"enemies","negative"
"404",49204,17,0,2018,"normal",1,"worrying","negative"
"405",49207,17,0,2018,"normal",1,"worry","negative"
"406",49209,17,0,2018,"normal",1,"failing","negative"
"407",49222,17,0,2018,"normal",1,"warlike","negative"
"408",49223,17,0,2018,"normal",1,"dangerous","negative"
"409",49230,17,0,2018,"normal",1,"dead","negative"
"410",49244,17,0,2018,"normal",1,"powerful","positive"
"411",49247,17,0,2018,"normal",1,"retaliate","negative"
"412",49251,17,0,2018,"normal",1,"difficult","negative"
"413",49262,17,105,2018,"popular",1,"smiles","positive"
"414",49269,17,0,2018,"normal",1,"attack","negative"
"415",49270,17,0,2018,"normal",1,"winning","positive"
"416",49274,17,0,2018,"normal",1,"support","positive"
"417",49287,17,0,2018,"normal",1,"wow","positive"
"418",49295,17,0,2018,"normal",1,"illiterate","negative"
"419",49296,17,0,2018,"normal",1,"retards","negative"
"420",49302,17,0,2018,"normal",1,"killed","negative"
"421",49306,17,0,2018,"normal",1,"indignation","negative"
"422",49307,17,0,2018,"normal",1,"trump","positive"
"423",49309,17,0,2018,"normal",1,"fell","negative"
"424",49314,17,0,2018,"normal",1,"benefits","positive"
"425",49325,17,114,2018,"popular",1,"suffering","negative"
"426",49327,17,114,2018,"popular",1,"smoke","negative"
"427",49329,17,114,2018,"popular",1,"shaky","negative"
"428",49334,17,114,2018,"popular",1,"retards","negative"
"429",49339,17,0,2018,"normal",1,"wow","positive"
"430",49347,17,0,2018,"normal",1,"lighter","positive"
"431",49348,17,0,2018,"normal",1,"damn","negative"
"432",49349,17,0,2018,"normal",1,"shame","negative"
"433",49352,17,0,2018,"normal",1,"cute","positive"
"434",49356,17,17,2018,"good",1,"killed","negative"
"435",49358,17,0,2018,"normal",1,"attack","negative"
"436",49362,17,0,2018,"normal",1,"attack","negative"
"437",49371,17,0,2018,"normal",1,"attack","negative"
"438",49373,17,0,2018,"normal",1,"bully","negative"
"439",49376,17,0,2018,"normal",1,"fear","negative"
"440",49379,17,0,2018,"normal",1,"master","positive"
"441",49383,17,0,2018,"normal",1,"nonsense","negative"
"442",49389,17,0,2018,"normal",1,"lie","negative"
"443",49396,17,1,2018,"normal",1,"attack","negative"
"444",49399,17,1,2018,"normal",1,"sink","negative"
"445",49410,17,0,2018,"normal",1,"fell","negative"
"446",49415,17,0,2018,"normal",1,"shame","negative"
"447",49417,17,0,2018,"normal",1,"attack","negative"
"448",49421,17,0,2018,"normal",1,"attack","negative"
"449",49423,17,0,2018,"normal",1,"badly","negative"
"450",49553,17,0,2018,"normal",1,"lie","negative"
"451",49559,17,0,2018,"normal",1,"attacks","negative"
"452",49561,17,0,2018,"normal",1,"lies","negative"
"453",49562,17,0,2018,"normal",1,"lies","negative"
"454",49563,17,0,2018,"normal",1,"lies","negative"
"455",49573,17,0,2018,"normal",1,"lies","negative"
"456",49584,17,0,2018,"normal",1,"lies","negative"
"457",49586,17,0,2018,"normal",1,"lies","negative"
"458",49594,17,0,2018,"normal",1,"bias","negative"
"459",49596,17,5,2018,"good",1,"crap","negative"
"460",49602,17,0,2018,"normal",1,"ready","positive"
"461",49607,17,0,2018,"normal",1,"attack","negative"
"462",49615,17,0,2018,"normal",1,"killed","negative"
"463",49616,17,0,2018,"normal",1,"attack","negative"
"464",49617,17,0,2018,"normal",1,"warned","negative"
"465",49619,17,0,2018,"normal",1,"attack","negative"
"466",49622,17,0,2018,"normal",1,"warned","negative"
"467",49627,17,0,2018,"normal",1,"astray","negative"
"468",49630,17,0,2018,"normal",1,"complex","negative"
"469",49633,17,0,2018,"normal",1,"doubt","negative"
"470",49642,17,0,2018,"normal",1,"protective","positive"
"471",49645,17,0,2018,"normal",1,"strike","negative"
"472",49652,17,0,2018,"normal",1,"fake","negative"
"473",49653,17,0,2018,"normal",1,"fake","negative"
"474",49654,17,0,2018,"normal",1,"fake","negative"
"475",49656,17,0,2018,"normal",1,"trust","positive"
"476",49663,17,0,2018,"normal",1,"bomb","negative"
"477",49673,17,0,2018,"normal",1,"losing","negative"
"478",49676,17,0,2018,"normal",1,"trump","positive"
"479",49681,17,0,2018,"normal",1,"trump","positive"
"480",49684,17,0,2018,"normal",1,"morons","negative"
"481",49691,17,0,2018,"normal",1,"deceptive","negative"
"482",49693,17,4,2018,"good",1,"win","positive"
"483",49695,17,4,2018,"good",1,"sucks","negative"
"484",49708,17,0,2018,"normal",1,"attack","negative"
"485",49712,17,0,2018,"normal",1,"hate","negative"
"486",49715,17,0,2018,"normal",1,"awe","positive"
"487",49717,17,0,2018,"normal",1,"trump","positive"
"488",49719,17,0,2018,"normal",1,"trump","positive"
"489",49722,17,0,2018,"normal",1,"backbone","positive"
"490",49724,17,0,2018,"normal",1,"issues","negative"
"491",49725,17,0,2018,"normal",1,"lose","negative"
"492",49729,17,0,2018,"normal",1,"nice","positive"
"493",49735,17,0,2018,"normal",1,"smart","positive"
"494",49746,17,0,2018,"normal",1,"love","positive"
"495",49751,17,0,2018,"normal",1,"emergency","negative"
"496",49756,17,0,2018,"normal",1,"impending","negative"
"497",49758,17,0,2018,"normal",1,"strike","negative"
"498",49760,17,0,2018,"normal",1,"supporting","positive"
"499",49761,17,0,2018,"normal",1,"dumb","negative"
"500",49763,17,0,2018,"normal",1,"idiotic","negative"
"501",49770,17,0,2018,"normal",1,"blatantly","negative"
"502",49772,17,0,2018,"normal",1,"harms","negative"
"503",49773,17,0,2018,"normal",1,"ridiculous","negative"
"504",49776,17,0,2018,"normal",1,"propaganda","negative"
"505",49777,17,0,2018,"normal",1,"bs","negative"
